contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid_price,relative_spread,market_price,price_source,calculated_iv,expiry,option_type,time_to_expiry,underlying_price,moneyness
SPY260922C00765000,2026-09-15 20:14:49+00:00,765.0,2.14,2.11,2.16,-1.1499999,-34.954403,614.0,460.0,0.1131070135498047,False,REGULAR,USD,2.135,0.023419203747072726,2.135,mid,0.11562999799847604,2026-09-22,call,0.019178082191780823,757.3900146484375,1.010047644152128
SPY260922C00766000,2026-09-15 20:10:26+00:00,766.0,1.75,1.8,1.83,-1.1300001,-39.236115,809.0,89.0,0.11109287353515623,False,REGULAR,USD,1.815,0.016528925619834725,1.815,mid,0.11402396559715272,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0113679678699738
SPY260922C00767000,2026-09-15 20:09:02+00:00,767.0,1.45,1.51,1.54,-1.3399999,-48.028667,715.0,122.0,0.10938390625,False,REGULAR,USD,1.525,0.019672131147541003,1.525,mid,0.112340230345726,2026-09-22,call,0.019178082191780823,757.3900146484375,1.01268829158782
SPY260922C00768000,2026-09-15 20:14:11+00:00,768.0,1.25,1.26,1.28,-0.9100001,-42.12963,360.0,139.0,0.10755286987304688,False,REGULAR,USD,1.27,0.015748031496063006,1.27,mid,0.11075970232486725,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0140086153056658
SPY260922C00769000,2026-09-15 20:14:29+00:00,769.0,1.04,1.04,1.06,-0.81000006,-43.783787,440.0,184.0,0.10608804077148437,False,REGULAR,USD,1.05,0.019047619047619063,1.05,mid,0.10935145899653434,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0153289390235116
SPY260922C00770000,2026-09-15 20:09:49+00:00,770.0,0.81,0.84,0.87,-0.71999997,-47.058823,705.0,388.0,0.10474528076171874,False,REGULAR,USD,0.855,0.03508771929824565,0.855,mid,0.10781502455472947,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0166492627413575
SPY260922C00771000,2026-09-15 20:14:35+00:00,771.0,0.68,0.68,0.7,-0.67,-49.629627,111.0,67.0,0.10309734802246093,False,REGULAR,USD,0.69,0.02898550724637668,0.69,mid,0.10641429126262662,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0179695864592035
SPY260922C00772000,2026-09-15 20:09:51+00:00,772.0,0.52,0.54,0.56,-0.53999996,-50.943394,308.0,67.0,0.10169355346679687,False,REGULAR,USD,0.55,0.03636363636363639,0.55,mid,0.10504136741161345,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0192899101770494
SPY260922C00773000,2026-09-15 20:13:46+00:00,773.0,0.43,0.43,0.45,-0.44,-50.57471,426.0,141.0,0.10083906982421875,False,REGULAR,USD,0.44,0.0454545454545455,0.44,mid,0.10413257867097853,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0206102338948952
SPY260922C00774000,2026-09-15 20:07:36+00:00,774.0,0.33,0.34,0.35,-0.48999998,-59.756092,397.0,334.0,0.09937424072265624,False,REGULAR,USD,0.345,0.02898550724637668,0.345,mid,0.10301930874586104,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0219305576127413
SPY260922C00775000,2026-09-15 20:14:35+00:00,775.0,0.27,0.26,0.27,-0.30999997,-53.448273,648.0,645.0,0.0981535498046875,False,REGULAR,USD,0.265,0.03773584905660381,0.265,mid,0.1017586636543274,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0232508813305872
SPY260922C00776000,2026-09-15 19:58:01+00:00,776.0,0.17,0.2,0.21,-0.29000002,-63.043476,771.0,302.0,0.09742113525390625,False,REGULAR,USD,0.20500000000000002,0.04878048780487795,0.20500000000000002,mid,0.10095531284809113,2026-09-22,call,0.019178082191780823,757.3900146484375,1.024571205048433
SPY260922C00777000,2026-09-15 19:30:44+00:00,777.0,0.13,0.16,0.17,-0.24000001,-64.86486,550.0,464.0,0.09742113525390625,False,REGULAR,USD,0.165,0.060606060606060656,0.165,mid,0.10111919522285462,2026-09-22,call,0.019178082191780823,757.3900146484375,1.025891528766279
SPY260922C00778000,2026-09-15 19:54:18+00:00,778.0,0.09,0.12,0.13,-0.22999999,-71.87499,366.0,621.0,0.09668872070312501,False,REGULAR,USD,0.125,0.08000000000000007,0.125,mid,0.10032387495040893,2026-09-22,call,0.019178082191780823,757.3900146484375,1.027211852484125
SPY260922C00779000,2026-09-15 15:13:09+00:00,779.0,0.11,0.09,0.1,-0.14999999,-57.692307,30.0,354.0,0.09620044433593751,False,REGULAR,USD,0.095,0.10526315789473693,0.095,mid,0.09979356229305268,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0285321762019708
SPY260922C00780000,2026-09-15 20:03:55+00:00,780.0,0.07,0.07,0.08,-0.12,-63.157894,954.0,522.0,0.09668872070312501,False,REGULAR,USD,0.07500000000000001,0.13333333333333325,0.07500000000000001,mid,0.09999908447265626,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0298524999198169
SPY260922C00781000,2026-09-15 19:47:54+00:00,781.0,0.05,0.05,0.06,-0.10000001,-66.66667,257.0,160.0,0.09620044433593751,False,REGULAR,USD,0.055,0.18181818181818174,0.055,mid,0.09924153745174409,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0311728236376627
SPY260922C00782000,2026-09-15 19:28:35+00:00,782.0,0.04,0.04,0.05,-0.16999999,-80.95238,77.0,176.0,0.0971769970703125,False,REGULAR,USD,0.045,0.22222222222222227,0.045,mid,0.10010615825653077,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0324931473555086
SPY260922C00783000,2026-09-15 19:04:28+00:00,783.0,0.03,0.03,0.04,-0.07,-70.0,5.0,181.0,0.0976652734375,False,REGULAR,USD,0.035,0.28571428571428575,0.035,mid,0.10033101320266724,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0338134710733544
SPY260922C00784000,2026-09-15 20:09:51+00:00,784.0,0.03,0.02,0.03,-0.04,-57.142857,171.0,248.0,0.0971769970703125,False,REGULAR,USD,0.025,0.3999999999999999,0.025,mid,0.09960172176361085,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0351337947912005
SPY260922C00785000,2026-09-15 18:56:28+00:00,785.0,0.03,0.02,0.03,-0.04,-57.142857,638.0,756.0,0.100594931640625,False,REGULAR,USD,0.025,0.3999999999999999,0.025,mid,0.10290435314178467,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0364541185090463
SPY260922C00786000,2026-09-15 20:04:27+00:00,786.0,0.03,0.02,0.03,-0.01,-25.0,7.0,247.0,0.10352458984374999,False,REGULAR,USD,0.025,0.3999999999999999,0.025,mid,0.10619151830673218,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0377744422268922
SPY260922P00550000,2026-09-14 14:21:34+00:00,550.0,0.03,0.02,0.03,0.0,0.0,20.0,25.0,0.7187528125,False,REGULAR,USD,0.025,0.3999999999999999,0.025,mid,0.768569699573517,2026-09-22,put,0.019178082191780823,757.3900146484375,0.7261780448152554
SPY260922P00590000,2026-09-11 17:30:31+00:00,590.0,0.05,0.04,0.05,0.0,0.0,,1.0,0.6015664843750002,False,REGULAR,USD,0.045,0.22222222222222227,0.045,mid,0.6454432711601257,2026-09-22,put,0.019178082191780823,757.3900146484375,0.7789909935290922
SPY260922P00625000,2026-09-15 15:30:49+00:00,625.0,0.08,0.07,0.08,0.02,33.333336,56.0,6.0,0.500005,False,REGULAR,USD,0.07500000000000001,0.13333333333333325,0.07500000000000001,mid,0.5359946430683137,2026-09-22,put,0.019178082191780823,757.3900146484375,0.8252023236536993
SPY260922P00630000,2026-09-15 19:25:40+00:00,630.0,0.09,0.07,0.08,0.020000003,28.571432,16.0,16.0,0.48438015625,False,REGULAR,USD,0.07500000000000001,0.13333333333333325,0.07500000000000001,mid,0.5159798036575319,2026-09-22,put,0.019178082191780823,757.3900146484375,0.831803942242929
SPY260922P00640000,2026-09-15 17:17:06+00:00,640.0,0.1,0.08,0.09,0.020000003,25.000004,755.0,3.0,0.45313046875,False,REGULAR,USD,0.08499999999999999,0.11764705882352937,0.08499999999999999,mid,0.4829106160402299,2026-09-22,put,0.019178082191780823,757.3900146484375,0.8450071794213881
SPY260922P00655000,2026-09-15 14:18:57+00:00,655.0,0.11,0.1,0.11,-0.009999998,-8.333331,1.0,185.0,0.4062559375,False,REGULAR,USD,0.10500000000000001,0.09523809523809518,0.10500000000000001,mid,0.4338545903444291,2026-09-22,put,0.019178082191780823,757.3900146484375,0.8648120351890769
SPY260922P00665000,2026-09-11 19:12:47+00:00,665.0,0.14,0.12,0.13,0.0,0.0,,197.0,0.375982802734375,False,REGULAR,USD,0.125,0.08000000000000007,0.125,mid,0.4021896600723267,2026-09-22,put,0.019178082191780823,757.3900146484375,0.8780152723675361
SPY260922P00670000,2026-09-15 19:03:46+00:00,670.0,0.16,0.13,0.14,-0.010000005,-5.8823557,267.0,75.0,0.36035795898437495,False,REGULAR,USD,0.135,0.07407407407407414,0.135,mid,0.3855769857406617,2026-09-22,put,0.019178082191780823,757.3900146484375,0.8846168909567657
SPY260922P00680000,2026-09-15 17:17:08+00:00,680.0,0.19,0.16,0.17,0.00999999,5.55555,298.0,11.0,0.3305731005859375,False,REGULAR,USD,0.165,0.060606060606060656,0.165,mid,0.35400980513095853,2026-09-22,put,0.019178082191780823,757.3900146484375,0.8978201281352248
SPY260922P00690000,2026-09-15 19:46:30+00:00,690.0,0.24,0.2,0.21,0.030000001,14.285715,1021.0,255.0,0.3002999658203125,False,REGULAR,USD,0.20500000000000002,0.04878048780487795,0.20500000000000002,mid,0.3221332826018334,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9110233653136841
SPY260922P00695000,2026-09-15 19:46:30+00:00,695.0,0.27,0.22,0.23,-0.00999999,-3.5714252,120.0,6.0,0.2841868457031249,False,REGULAR,USD,0.225,0.04444444444444448,0.225,mid,0.3049829851269722,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9176249839029137
SPY260922P00700000,2026-09-15 20:13:55+00:00,700.0,0.26,0.25,0.26,-0.04000002,-13.333339,162.0,287.0,0.2690502783203125,False,REGULAR,USD,0.255,0.03921568627450984,0.255,mid,0.28893833169937133,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9242266024921433
SPY260922P00705000,2026-09-15 20:09:51+00:00,705.0,0.3,0.3,0.31,-0.03999999,-11.764703,33.0,86.0,0.2556226782226563,False,REGULAR,USD,0.305,0.03278688524590167,0.305,mid,0.27490946704149255,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9308282210813729
SPY260922P00710000,2026-09-15 20:03:05+00:00,710.0,0.37,0.35,0.36,-0.049999982,-11.9047575,564.0,381.0,0.24073024902343748,False,REGULAR,USD,0.355,0.028169014084507067,0.355,mid,0.25909637302756316,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9374298396706024
SPY260922P00715000,2026-09-15 19:37:14+00:00,715.0,0.49,0.43,0.44,0.060000002,13.953488,60.0,141.0,0.22730264892578123,False,REGULAR,USD,0.435,0.022988505747126457,0.435,mid,0.2450609519898892,2026-09-22,put,0.019178082191780823,757.3900146484375,0.944031458259832
SPY260922P00718000,2026-09-15 20:05:07+00:00,718.0,0.52,0.5,0.51,-0.00999999,-1.8867908,28.0,82.0,0.22022264160156246,False,REGULAR,USD,0.505,0.01980198019801982,0.505,mid,0.23762482523322104,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9479924294133698
SPY260922P00719000,2026-09-15 19:59:05+00:00,719.0,0.57,0.52,0.53,0.01999998,3.6363602,255.0,62.0,0.2172929833984375,False,REGULAR,USD,0.525,0.019047619047619063,0.525,mid,0.2345704463005066,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9493127531312157
SPY260922P00720000,2026-09-15 20:03:05+00:00,720.0,0.58,0.55,0.56,0.07999998,15.999996,218.0,167.0,0.21509573974609375,False,REGULAR,USD,0.555,0.018018018018018032,0.555,mid,0.2322970216065645,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9506330768490616
SPY260922P00721000,2026-09-15 16:47:20+00:00,721.0,0.64,0.57,0.58,0.06999999,12.280701,27.0,75.0,0.21204401245117185,False,REGULAR,USD,0.575,0.017391304347826105,0.575,mid,0.22901227532923218,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9519534005669076
SPY260922P00722000,2026-09-15 19:56:36+00:00,722.0,0.69,0.6,0.61,0.14999998,27.777773,30.0,42.0,0.20960263061523435,False,REGULAR,USD,0.605,0.016528925619834725,0.605,mid,0.22645141298472882,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9532737242847534
SPY260922P00723000,2026-09-15 20:12:03+00:00,723.0,0.64,0.64,0.65,-0.060000002,-8.571428,55.0,149.0,0.20777159423828123,False,REGULAR,USD,0.645,0.015503875968992262,0.645,mid,0.22451877103149892,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9545940480025994
SPY260922P00724000,2026-09-15 19:19:58+00:00,724.0,0.74,0.67,0.68,0.01999998,2.777775,134.0,238.0,0.2049640051269531,False,REGULAR,USD,0.675,0.014814814814814828,0.675,mid,0.2216336659044027,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9559143717204454
SPY260922P00725000,2026-09-15 20:09:51+00:00,725.0,0.73,0.71,0.72,0.060000002,8.955224,613.0,917.0,0.20276676147460934,False,REGULAR,USD,0.715,0.013986013986014,0.715,mid,0.21932939642369748,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9572346954382912
SPY260922P00726000,2026-09-15 18:39:15+00:00,726.0,0.87,0.75,0.76,0.120000005,16.0,38.0,97.0,0.2004474487304687,False,REGULAR,USD,0.755,0.013245033112582794,0.755,mid,0.21683886615335946,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9585550191561372
SPY260922P00727000,2026-09-15 19:33:28+00:00,727.0,0.89,0.79,0.8,0.110000014,14.102567,101.0,220.0,0.19788399780273438,False,REGULAR,USD,0.795,0.012578616352201269,0.795,mid,0.2141719096630812,2026-09-22,put,0.019178082191780823,757.3900146484375,0.959875342873983
SPY260922P00728000,2026-09-15 20:05:07+00:00,728.0,0.86,0.84,0.85,0.08000004,10.256415,374.0,147.0,0.19568675415039063,False,REGULAR,USD,0.845,0.011834319526627229,0.845,mid,0.2119660603836179,2026-09-22,put,0.019178082191780823,757.3900146484375,0.961195666591829
SPY260922P00729000,2026-09-15 20:14:11+00:00,729.0,0.88,0.89,0.9,0.06999999,8.641974,766.0,135.0,0.19336744140625,False,REGULAR,USD,0.895,0.011173184357541908,0.895,mid,0.20954891686439517,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9625159903096749
SPY260922P00730000,2026-09-15 20:14:38+00:00,730.0,0.95,0.94,0.96,0.089999974,10.465113,476.0,1034.0,0.1914143359375,False,REGULAR,USD,0.95,0.02105263157894739,0.95,mid,0.2072196884378791,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9638363140275208
SPY260922P00731000,2026-09-15 19:52:25+00:00,731.0,1.22,1.0,1.02,0.32000005,35.55556,312.0,67.0,0.18921709228515626,False,REGULAR,USD,1.01,0.01980198019801982,1.01,mid,0.20495229859352113,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9651566377453668
SPY260922P00732000,2026-09-15 19:40:55+00:00,732.0,1.15,1.06,1.08,0.14999998,14.999998,152.0,295.0,0.1868367449951172,False,REGULAR,USD,1.07,0.018691588785046745,1.07,mid,0.20245990571528674,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9664769614632126
SPY260922P00733000,2026-09-15 19:51:26+00:00,733.0,1.34,1.13,1.15,0.38000005,39.58334,98.0,329.0,0.18470053588867186,False,REGULAR,USD,1.14,0.017543859649122823,1.14,mid,0.20025875020772219,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9677972851810586
SPY260922P00734000,2026-09-15 20:14:35+00:00,734.0,1.21,1.21,1.22,0.20000005,19.801985,78.0,52.0,0.18238122314453126,False,REGULAR,USD,1.2149999999999999,0.008230452674897127,1.2149999999999999,mid,0.19805439101457592,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9691176088989045
SPY260922P00735000,2026-09-15 20:14:38+00:00,735.0,1.29,1.29,1.3,0.18999994,17.272722,187.0,372.0,0.1801839794921875,False,REGULAR,USD,1.295,0.007722007722007729,1.295,mid,0.19582939412593842,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9704379326167504
SPY260922P00736000,2026-09-15 20:14:28+00:00,736.0,1.38,1.37,1.38,0.13999999,11.290321,219.0,350.0,0.17780363220214845,False,REGULAR,USD,1.375,0.0072727272727271175,1.375,mid,0.19334616527855397,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9717582563345963
SPY260922P00737000,2026-09-15 17:19:27+00:00,737.0,1.72,1.46,1.48,0.4100001,31.297718,148.0,200.0,0.1759725958251953,False,REGULAR,USD,1.47,0.01360544217687076,1.47,mid,0.1912552016541362,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9730785800524423
SPY260922P00738000,2026-09-15 19:59:03+00:00,738.0,1.72,1.56,1.58,0.49,39.8374,85.0,98.0,0.17383638671875,False,REGULAR,USD,1.57,0.012738853503184724,1.57,mid,0.18908220877796408,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9743989037702881
SPY260922P00739000,2026-09-15 20:01:44+00:00,739.0,1.76,1.67,1.69,0.45000005,34.35115,353.0,110.0,0.17182224670410157,False,REGULAR,USD,1.68,0.011904761904761916,1.68,mid,0.18701210636198518,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9757192274881341
SPY260922P00740000,2026-09-15 20:14:50+00:00,740.0,1.8,1.79,1.81,0.089999914,5.2631526,384.0,694.0,0.16986914123535157,False,REGULAR,USD,1.8,0.01111111111111112,1.8,mid,0.18501181448996062,2026-09-22,put,0.019178082191780823,757.3900146484375,0.97703955120598
SPY260922P00741000,2026-09-15 19:58:36+00:00,741.0,2.15,1.92,1.94,0.6500001,43.33334,205.0,44.0,0.16791603576660158,False,REGULAR,USD,1.93,0.010362694300518144,1.93,mid,0.1830513824269175,2026-09-22,put,0.019178082191780823,757.3900146484375,0.9783598749238259
